"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","busi","may","will","govern","law","man","work","year","nation","want","war","one","can","right","america"
"2","industri","upon","everi","state","congress","see","famili","presid","must","just","world","parti","time","peopl","new"
"3","product","public","countri","power","shall","day","job","first","great","know","peac","peopl","now","freedom","american"
"4","system","shall","american","unit","execut","know","tax","last","polici","say","forc","republican","peopl","free","let"
"5","increas","duti","make","union","administr","heart","help","thank","respons","like","defens","polit","chang","men","futur"
"6","labor","confid","believ","constitut","constitut","love","million","ago","peac","think","strong","democrat","much","human","world"
"7","trade","servic","good","citizen","without","live","children","offic","continu","dont","militari","made","mani","liberti","live"
"8","upon","countri","peopl","interest","may","life","care","great","world","back","also","differ","take","equal","better"
"9","countri","honor","give","general","legisl","god","economi","accept","seek","that","strength","elect","long","life","togeth"
"10","protect","trust","mean","limit","order","citi","home","said","econom","get","danger","anoth","great","justic","promis"
"11","public","feel","alway","form","act","one","pay","friend","among","tell","use","person","well","caus","today"
"12","use","spirit","hand","whole","secur","young","school","say","effort","put","arm","question","need","women","come"
"13","develop","patriot","best","feder","effect","stand","program","next","understand","way","end","decis","problem","civil","build"
"14","import","high","can","institut","necessari","still","need","convent","secur","ive","nuclear","fact","done","citizen","opportun"
"15","tariff","support","serv","within","enforc","rememb","plan","tonight","purpos","thing","europ","place","way","hold","centuri"
"16","interest","faith","pledg","principl","pass","across","educ","sinc","prosper","even","face","administr","without","spirit","generat"
"17","revenu","experi","sure","right","upon","side","creat","proud","task","someth","clear","truth","thing","individu","old"
"18","market","best","whether","part","subject","place","health","four","intern","talk","defend","record","less","ideal","challeng"
"19","benefit","interest","bring","preserv","declar","hope","save","unit","progress","immigr","threat","vote","fear","democraci","tonight"
"20","foreign","great","never","exist","reason","seen","valu","ask","foreign","good","never","speak","fail","race","hope"
